<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si-9.23,1,20230912,103900,94786.0000000,94800.0000000,94602.0000000,94673.0000000,10805
SPFB.Si-9.23,1,20230912,104000,94670.0000000,94704.0000000,94621.0000000,94689.0000000,4146
SPFB.Si-9.23,1,20230912,104100,94691.0000000,94713.0000000,94643.0000000,94675.0000000,2137
SPFB.Si-9.23,1,20230912,104200,94670.0000000,94689.0000000,94650.0000000,94652.0000000,1656
SPFB.Si-9.23,1,20230912,104300,94653.0000000,94694.0000000,94629.0000000,94667.0000000,2162
SPFB.Si-9.23,1,20230912,104400,94668.0000000,94725.0000000,94601.0000000,94714.0000000,14287
SPFB.Si-9.23,1,20230912,104500,94713.0000000,94780.0000000,94712.0000000,94736.0000000,4722
SPFB.Si-9.23,1,20230912,104600,94736.0000000,94743.0000000,94648.0000000,94727.0000000,6684
SPFB.Si-9.23,1,20230912,104700,94722.0000000,94759.0000000,94700.0000000,94712.0000000,4965
SPFB.Si-9.23,1,20230912,104800,94715.0000000,94743.0000000,94702.0000000,94722.0000000,2066
SPFB.Si-9.23,1,20230912,104900,94722.0000000,94763.0000000,94722.0000000,94759.0000000,1999
SPFB.Si-9.23,1,20230912,105000,94759.0000000,94759.0000000,94710.0000000,94735.0000000,2846
SPFB.Si-9.23,1,20230912,105100,94736.0000000,94771.0000000,94726.0000000,94770.0000000,2290
SPFB.Si-9.23,1,20230912,105200,94770.0000000,94790.0000000,94750.0000000,94786.0000000,2789
SPFB.Si-9.23,1,20230912,105300,94786.0000000,94830.0000000,94779.0000000,94823.0000000,7172
SPFB.Si-9.23,1,20230912,105400,94823.0000000,94866.0000000,94790.0000000,94864.0000000,8007
SPFB.Si-9.23,1,20230912,105500,94865.0000000,94894.0000000,94859.0000000,94890.0000000,4716
SPFB.Si-9.23,1,20230912,105600,94891.0000000,94944.0000000,94888.0000000,94927.0000000,4491
SPFB.Si-9.23,1,20230912,105700,94930.0000000,94965.0000000,94905.0000000,94922.0000000,5094
SPFB.Si-9.23,1,20230912,105800,94922.0000000,94976.0000000,94921.0000000,94968.0000000,4203
SPFB.Si-9.23,1,20230912,105900,94969.0000000,95000.0000000,94950.0000000,94950.0000000,17309
SPFB.Si-9.23,1,20230912,110000,94950.0000000,95072.0000000,94932.0000000,95046.0000000,19472
SPFB.Si-9.23,1,20230912,110100,95045.0000000,95069.0000000,95024.0000000,95032.0000000,5550
SPFB.Si-9.23,1,20230912,110200,95029.0000000,95070.0000000,95022.0000000,95051.0000000,4140
SPFB.Si-9.23,1,20230912,110300,95051.0000000,95052.0000000,94988.0000000,94989.0000000,4255
SPFB.Si-9.23,1,20230912,110400,94990.0000000,95057.0000000,94989.0000000,95036.0000000,3475
SPFB.Si-9.23,1,20230912,110500,95036.0000000,95053.0000000,95005.0000000,95028.0000000,2057
SPFB.Si-9.23,1,20230912,110600,95031.0000000,95040.0000000,94973.0000000,94993.0000000,3035
SPFB.Si-9.23,1,20230912,110700,94993.0000000,94995.0000000,94955.0000000,94967.0000000,2927
SPFB.Si-9.23,1,20230912,110800,94968.0000000,94990.0000000,94950.0000000,94957.0000000,4874
SPFB.Si-9.23,1,20230912,110900,94958.0000000,94965.0000000,94920.0000000,94930.0000000,4359
SPFB.Si-9.23,1,20230912,111000,94932.0000000,94984.0000000,94921.0000000,94957.0000000,6898
SPFB.Si-9.23,1,20230912,111100,94957.0000000,94978.0000000,94951.0000000,94973.0000000,1347
SPFB.Si-9.23,1,20230912,111200,94973.0000000,94985.0000000,94970.0000000,94973.0000000,1066
SPFB.Si-9.23,1,20230912,111300,94973.0000000,94977.0000000,94940.0000000,94940.0000000,2345
SPFB.Si-9.23,1,20230912,111400,94940.0000000,94954.0000000,94940.0000000,94940.0000000,3529
